Claim_Amount,Policy_Age_Days,Num_Previous_Claims,Days_To_Report,Fraud
5993.43,916,1,34,0
4723.47,457,3,59,0
6295.38,1358,0,5,0
8046.06,1925,0,4,0
4531.69,2024,2,21,0
4531.73,346,2,57,0
8158.43,2016,1,48,0
6534.87,664,1,22,0
4061.05,1955,2,24,0
6085.12,2086,2,33,0
4073.16,2851,1,25,0
4068.54,3174,0,46,0
5483.92,3460,2,4,0
1173.44,2300,1,25,0
1550.16,1469,0,19,0
3875.42,582,2,5,0
2974.34,3471,0,5,0
5628.49,745,0,58,0
3183.95,1317,2,49,0
2175.39,1743,1,17,0
7931.3,1913,1,3,0
4548.45,3419,1,16,0
5135.06,1137,0,56,0
2150.5,1371,0,13,0
3911.23,140,0,13,0
5221.85,280,2,12,0
2698.01,2460,1,6,0
5751.4,2084,2,43,0
3798.72,488,1,54,0
4416.61,1137,0,14,0
3796.59,237,1,18,0
8704.56,929,1,42,1
4973.01,3491,1,46,0
2884.58,3415,1,43,0
6645.09,51,1,34,0
2558.31,439,1,16,0
5417.73,924,2,34,0
1080.66,544,2,18,0
2343.63,3228,0,19,0
5393.72,838,0,35,0
6476.93,903,3,34,1
5342.74,43,1,31,0
4768.7,1000,0,57,0
4397.79,3055,1,47,0
2042.96,3091,0,43,0
3560.31,3113,4,39,0
4078.72,2164,1,23,0
7114.24,3625,1,16,0
5687.24,2986,1,6,0
1473.92,1590,1,42,0
5648.17,1354,1,49,0
4229.84,1296,0,0,0
3646.16,2199,0,34,0
6223.35,3248,0,31,0
7062.0,779,0,35,0
6862.56,3457,1,12,0
3321.56,714,1,5,0
4381.58,1957,1,57,0
5662.53,2386,2,13,0
6951.09,724,0,36,0
4041.65,2365,1,47,0
4628.68,336,1,14,0
2787.33,2019,0,46,0
2607.59,2991,1,3,0
6625.05,691,1,39,0
7712.48,578,1,58,0
4855.98,3453,1,15,0
7007.07,341,3,27,0
5723.27,2950,0,15,0
3709.76,1112,0,3,0
5722.79,3001,0,44,0
8076.07,1767,0,25,0
4928.35,784,1,27,0
8129.29,64,0,31,1
-239.49,474,1,44,0
6643.81,2170,1,1,0
5174.09,2012,1,30,0
4401.99,1260,0,2,0
5183.52,382,1,53,0
1024.86,932,1,7,0
4560.66,1385,0,23,0
5714.23,2939,1,14,0
7955.79,1778,2,42,0
3963.46,188,1,30,0
3383.01,2007,1,8,0
3996.49,986,2,38,0
6830.8,2101,1,44,0
5657.5,433,1,1,0
3940.48,2882,2,7,0
6026.53,545,0,6,0
5194.16,2809,0,55,0
6937.29,1417,0,43,0
3595.89,3483,0,50,0
4344.68,2609,2,38,0
4215.78,985,0,41,0
2072.97,2229,2,56,0
5592.24,1742,2,15,0
5522.11,3024,1,34,0
5010.23,637,0,29,0
4530.83,2497,3,9,0
2169.26,1303,1,37,0
4158.71,3218,1,17,0
4314.57,2943,2,49,0
3395.45,1565,0,4,0
4677.43,2655,1,52,0
5808.1,2412,0,28,0
8772.37,1471,0,38,1
5349.16,3009,0,59,0
5515.1,1827,2,33,0
4851.11,324,3,42,0
1162.46,784,2,44,0
4946.97,1424,0,22,0
5120.46,215,0,4,0
9926.48,1299,2,29,0
4615.28,666,1,5,0
5603.09,1321,2,55,0
4930.58,3338,2,57,0
2662.64,559,1,45,0
7285.65,2098,2,43,0
6503.87,2988,1,3,0
6582.06,2944,2,28,0
3181.23,823,2,22,0
7805.59,3621,2,5,0
2196.3,2177,1,31,0
6173.71,2829,0,41,0
9380.91,507,0,17,0
3018.93,1652,2,14,0
3867.4,3399,1,39,0
5199.3,969,0,57,0
3993.05,555,2,31,0
1898.67,2411,3,8,1
5137.13,31,1,36,0
2875.39,404,2,9,0
5947.18,2370,0,19,0
3161.15,2914,1,5,0
8099.87,3082,2,47,0
3433.49,582,1,55,0
4355.88,2395,3,58,0
6627.03,1555,0,2,0
2538.27,1881,2,41,0
5454.92,410,0,10,0
7614.29,1676,2,42,0
1785.03,43,0,16,0
5369.27,533,2,31,0
5519.77,2308,0,3,0
6563.65,2038,0,3,0
2526.1,3185,0,16,0
2359.09,159,1,40,0
6043.88,867,2,18,0
5593.97,3246,3,4,0
5500.99,2968,0,31,0
5692.9,2070,1,21,0
3639.95,57,1,55,0
5464.51,2143,0,5,0
5586.14,3264,1,34,0
3571.3,1282,1,21,0
8731.55,290,2,0,1
5947.67,2076,0,19,0
2617.39,1502,0,21,0
6313.11,1477,0,47,0
3050.64,489,0,54,0
6574.17,330,4,10,0
7317.19,2996,1,12,0
3358.64,3404,2,58,0
6926.75,2364,0,41,0
5825.56,3496,1,2,0
6644.12,3111,2,8,0
8793.59,659,1,59,0
4509.22,299,1,11,0
3492.53,2669,2,22,0
3220.97,2023,1,13,0
3368.38,1658,3,32,0
4845.8,1831,2,17,0
5682.3,2921,1,48,0
5553.38,891,1,58,0
6654.37,3462,2,40,0
5026.0,1310,0,8,0
7907.07,2210,0,22,0
4470.69,3377,1,9,0
10440.34,1829,1,18,0
6251.33,1736,0,46,0
3285.68,3049,1,4,0
2858.22,2590,3,46,0
5964.94,2390,1,51,0
4553.07,605,0,22,0
6428.0,2963,0,29,0
5946.48,2033,1,24,0
4854.34,1337,3,27,0
3306.41,3222,0,33,0
1970.31,3208,2,44,0
4106.97,1986,0,55,0
6712.8,2764,4,47,0
5428.19,2050,1,46,0
2508.52,3305,0,24,0
5346.36,2242,1,9,0
5770.63,2382,2,13,0
3232.29,3598,2,41,0
5307.45,1685,1,56,0
5116.42,1609,1,45,0
2714.06,1877,1,57,0
5715.57,2233,3,29,0
6121.57,1420,1,54,0
7166.1,1772,0,40,0
7107.6,1955,0,24,0
2244.66,649,0,13,0
3124.35,1304,1,34,0
6030.07,986,0,51,0
6027.57,1969,0,47,0
6030.1,2411,1,33,0
12705.46,998,1,9,1
6141.78,2588,1,34,0
7271.13,1346,0,10,0
6908.0,1073,1,10,0
6302.78,311,0,20,0
4369.46,2874,0,20,0
6517.94,3102,0,21,0
3454.35,2196,0,44,0
4526.36,1088,0,6,0
4029.27,227,2,54,0
5163.75,2562,0,16,0
9629.32,1112,2,1,1
1265.47,2914,1,11,0
6372.52,1214,0,56,0
1774.57,1038,2,41,0
4056.14,2768,2,17,0
7177.9,1259,0,53,0
5128.56,1065,1,58,0
2844.51,519,2,10,0
3569.39,305,1,15,0
6359.2,2770,3,48,0
3539.27,2319,1,50,0
5432.92,1269,0,17,0
5091.14,1304,0,34,0
3696.8,155,2,52,0
9287.89,246,1,58,0
6267.84,3407,1,25,0
949.71,1238,1,15,0
5372.91,3140,0,5,0
3676.43,1276,0,56,0
6704.87,3285,0,43,0
3414.96,2572,3,42,1
4770.53,2504,1,46,0
6009.97,3279,2,46,0
6731.51,948,2,47,0
2599.41,3529,1,41,0
4331.0,1347,1,11,0
4050.11,2228,0,59,0
3693.34,2461,1,12,0
8530.91,1691,1,3,0
5809.96,337,0,38,0
2478.23,1389,0,53,0
6835.72,1999,1,1,0
9244.31,2823,3,25,0
7064.93,921,1,58,0
1961.26,404,0,26,0
4031.53,3109,0,26,0
7533.82,2063,1,14,0
3584.66,1394,4,7,1
5887.64,158,0,6,0
6549.27,1044,1,46,0
3146.14,1829,2,54,0
4880.95,2746,1,45,0
-1482.53,3453,1,39,0
2951.22,1411,1,59,0
4494.86,546,0,11,0
2504.43,1548,0,12,0
8264.82,115,2,42,0
2139.72,1228,0,16,0
4119.91,3294,1,16,0
5261.48,2388,2,55,0
7882.55,1172,0,35,0
2128.28,3319,2,20,0
7326.33,2504,0,7,0
5020.47,2023,1,4,0
3036.98,3515,2,25,0
5924.21,2191,0,15,0
5398.12,3246,0,35,0
3799.57,3639,1,27,0
5139.6,332,0,53,0
4229.37,2821,1,28,0
5227.03,617,0,46,0
6324.26,1016,1,11,0
8172.03,1893,1,36,0
2524.37,374,4,29,0
9266.07,843,2,22,1
1095.82,2017,0,15,0
4696.43,2878,1,13,0
6176.63,3102,1,9,0
5561.98,3248,2,6,0
3754.6,1340,0,44,0
4583.76,2029,0,51,0
4014.0,1707,0,59,0
3821.27,3154,0,36,0
6699.2,1357,0,28,0
5714.03,1122,0,2,0
3614.18,2438,2,14,0
6799.2,3321,1,35,0
5614.6,1039,1,46,0
6625.72,733,1,45,0
6259.26,604,3,51,1
3342.01,1638,1,18,0
3879.64,3262,1,12,0
6494.59,1142,1,41,0
6220.74,717,0,20,0
4958.2,2858,3,36,0
5234.65,2662,1,26,0
7555.33,2666,1,54,0
3816.86,3260,1,51,0
6094.19,518,2,28,0
4595.61,3048,2,19,0
4564.64,1377,2,24,0
7197.55,3482,0,5,0
6650.83,3203,0,35,0
6627.02,523,1,1,1
7610.96,1697,1,21,0
5042.01,1667,3,31,0
6363.91,48,2,15,0
4379.47,3555,1,17,0
5648.33,3583,0,4,0
4739.71,2474,2,53,0
5193.99,1030,1,35,0
6190.31,3380,2,29,0
3363.56,880,2,44,0
9184.77,1418,1,18,0
2987.97,1384,2,22,0
2571.62,1397,0,33,0
7316.22,851,0,12,0
6583.33,484,1,42,0
6248.24,1654,0,53,0
6256.69,2802,1,28,0
4975.51,3166,3,35,0
3205.49,3177,0,21,0
5151.61,740,3,51,0
3645.68,2220,3,51,0
6950.24,946,2,46,0
4705.89,2905,1,35,0
3349.01,2682,1,8,0
4357.23,1526,0,38,0
5825.86,1470,0,50,0
3872.55,334,0,18,0
3355.56,765,2,37,0
5487.37,3598,2,5,0
5489.93,2368,0,51,0
3986.11,1993,2,46,0
4057.92,2179,0,14,0
5464.1,2039,0,56,0
2103.83,3368,1,19,0
2185.07,2944,0,8,0
3563.11,3045,0,31,0
4573.11,3051,2,3,0
5621.82,2919,1,49,0
7950.71,991,1,17,0
